STT,Trạng Thái,Views,Link
1,❌ Chưa tải,0,https://www.tiktok.com/@nuademtheman06/video/7598373677721193746
2,❌ Chưa tải,0,https://www.tiktok.com/@nuademtheman06/video/7596657031033933064
3,❌ Chưa tải,0,https://www.tiktok.com/@nuademtheman06/video/7590732882138631442
4,❌ Chưa tải,1488,https://www.tiktok.com/@nuademtheman06/video/7602598572734942482
5,❌ Chưa tải,1621,https://www.tiktok.com/@nuademtheman06/video/7602274759786663175
6,❌ Chưa tải,3411,https://www.tiktok.com/@nuademtheman06/video/7602106016892800263
7,❌ Chưa tải,1383,https://www.tiktok.com/@nuademtheman06/video/7601902050913438994
8,❌ Chưa tải,12600,https://www.tiktok.com/@nuademtheman06/video/7601856384480611591
9,❌ Chưa tải,1287,https://www.tiktok.com/@nuademtheman06/video/7601511816048413960
10,❌ Chưa tải,2197,https://www.tiktok.com/@nuademtheman06/video/7601381912933862674
11,❌ Chưa tải,27300,https://www.tiktok.com/@nuademtheman06/video/7601115996539063570
12,❌ Chưa tải,110000,https://www.tiktok.com/@nuademtheman06/video/7600979520635587847
13,❌ Chưa tải,2672,https://www.tiktok.com/@nuademtheman06/video/7600791417111203090
14,❌ Chưa tải,1102,https://www.tiktok.com/@nuademtheman06/video/7600745316651978002
15,❌ Chưa tải,1440,https://www.tiktok.com/@nuademtheman06/video/7600685079664381192
16,❌ Chưa tải,1758,https://www.tiktok.com/@nuademtheman06/video/7600418685244706056
17,❌ Chưa tải,4708,https://www.tiktok.com/@nuademtheman06/video/7600372781695421714
18,❌ Chưa tải,1948,https://www.tiktok.com/@nuademtheman06/video/7600252774449761554
19,❌ Chưa tải,26300,https://www.tiktok.com/@nuademtheman06/video/7600048679449382162
20,❌ Chưa tải,1995,https://www.tiktok.com/@nuademtheman06/video/7600001893061905682
21,❌ Chưa tải,1902,https://www.tiktok.com/@nuademtheman06/video/7599860775607373063
22,❌ Chưa tải,1797,https://www.tiktok.com/@nuademtheman06/video/7599634423507635474
23,❌ Chưa tải,1824,https://www.tiktok.com/@nuademtheman06/video/7599489491270667527
24,❌ Chưa tải,1717,https://www.tiktok.com/@nuademtheman06/video/7599298609909157128
25,❌ Chưa tải,1498,https://www.tiktok.com/@nuademtheman06/video/7599260194257865991
26,❌ Chưa tải,3616,https://www.tiktok.com/@nuademtheman06/video/7599145219036106002
27,❌ Chưa tải,3290,https://www.tiktok.com/@nuademtheman06/video/7599116947006967058
28,❌ Chưa tải,13200,https://www.tiktok.com/@nuademtheman06/video/7598936709304306952
29,❌ Chưa tải,2933,https://www.tiktok.com/@nuademtheman06/video/7598919330981629202
30,❌ Chưa tải,2302,https://www.tiktok.com/@nuademtheman06/video/7598887147436772615
31,❌ Chưa tải,2664,https://www.tiktok.com/@nuademtheman06/video/7598787426315783442
32,❌ Chưa tải,7935,https://www.tiktok.com/@nuademtheman06/video/7598559776934464786
33,❌ Chưa tải,27700,https://www.tiktok.com/@nuademtheman06/video/7598504110777699591
34,❌ Chưa tải,11700,https://www.tiktok.com/@nuademtheman06/video/7598465417518075143
35,❌ Chưa tải,3960,https://www.tiktok.com/@nuademtheman06/video/7598184665178033426
36,❌ Chưa tải,9553,https://www.tiktok.com/@nuademtheman06/video/7598147101880585479
37,❌ Chưa tải,104600,https://www.tiktok.com/@nuademtheman06/video/7598046646580055314
38,❌ Chưa tải,2182,https://www.tiktok.com/@nuademtheman06/video/7597823734916910344
39,❌ Chưa tải,2046,https://www.tiktok.com/@nuademtheman06/video/7597777060790127880
40,❌ Chưa tải,1796,https://www.tiktok.com/@nuademtheman06/video/7597654072484711688
41,❌ Chưa tải,2092,https://www.tiktok.com/@nuademtheman06/video/7597451221057785095
42,❌ Chưa tải,2310,https://www.tiktok.com/@nuademtheman06/video/7597399930952617224
43,❌ Chưa tải,2424,https://www.tiktok.com/@nuademtheman06/video/7597075375864155399
44,❌ Chưa tải,2711,https://www.tiktok.com/@nuademtheman06/video/7597033884609449234
45,❌ Chưa tải,6716,https://www.tiktok.com/@nuademtheman06/video/7596897742069320967
46,❌ Chưa tải,7671,https://www.tiktok.com/@nuademtheman06/video/7596709235224775943
47,❌ Chưa tải,5852,https://www.tiktok.com/@nuademtheman06/video/7596537687864118535
48,❌ Chưa tải,8752,https://www.tiktok.com/@nuademtheman06/video/7596298509968526599
49,❌ Chưa tải,78800,https://www.tiktok.com/@nuademtheman06/video/7596200173479447826
50,❌ Chưa tải,2177,https://www.tiktok.com/@nuademtheman06/video/7595963915318660360
51,❌ Chưa tải,1565,https://www.tiktok.com/@nuademtheman06/video/7595912564937149714
52,❌ Chưa tải,1696,https://www.tiktok.com/@nuademtheman06/video/7595777766583225607
53,❌ Chưa tải,1870,https://www.tiktok.com/@nuademtheman06/video/7595607422065052936
54,❌ Chưa tải,1134,https://www.tiktok.com/@nuademtheman06/video/7595549276546108679
55,❌ Chưa tải,1101,https://www.tiktok.com/@nuademtheman06/video/7595433444323118343
56,❌ Chưa tải,1981,https://www.tiktok.com/@nuademtheman06/video/7595042624562564360
57,❌ Chưa tải,775,https://www.tiktok.com/@nuademtheman06/video/7594867698958454024
58,❌ Chưa tải,1164,https://www.tiktok.com/@nuademtheman06/video/7594805662526295314
59,❌ Chưa tải,1341,https://www.tiktok.com/@nuademtheman06/video/7594680668106378504
60,❌ Chưa tải,94500,https://www.tiktok.com/@nuademtheman06/video/7594435855167589639
61,❌ Chưa tải,4209,https://www.tiktok.com/@nuademtheman06/video/7594109720428924168
62,❌ Chưa tải,1443,https://www.tiktok.com/@nuademtheman06/video/7594066592837815570
63,❌ Chưa tải,1435,https://www.tiktok.com/@nuademtheman06/video/7593931025445555463
64,❌ Chưa tải,886,https://www.tiktok.com/@nuademtheman06/video/7593741098409790738
65,❌ Chưa tải,1307,https://www.tiktok.com/@nuademtheman06/video/7593698966533885192
66,❌ Chưa tải,4226,https://www.tiktok.com/@nuademtheman06/video/7593555193342561554
67,❌ Chưa tải,170400,https://www.tiktok.com/@nuademtheman06/video/7593375873366035730
68,❌ Chưa tải,1702,https://www.tiktok.com/@nuademtheman06/video/7593319566554729746
69,❌ Chưa tải,1596,https://www.tiktok.com/@nuademtheman06/video/7593221376098438408
70,❌ Chưa tải,68500,https://www.tiktok.com/@nuademtheman06/video/7592994588067974407
71,❌ Chưa tải,1889,https://www.tiktok.com/@nuademtheman06/video/7592951503556480264
72,❌ Chưa tải,961,https://www.tiktok.com/@nuademtheman06/video/7592802757216619794
73,❌ Chưa tải,1599,https://www.tiktok.com/@nuademtheman06/video/7592628533172653330
74,❌ Chưa tải,1251,https://www.tiktok.com/@nuademtheman06/video/7592577210272288007
75,❌ Chưa tải,2016,https://www.tiktok.com/@nuademtheman06/video/7592439998486465810
76,❌ Chưa tải,1884,https://www.tiktok.com/@nuademtheman06/video/7592250928317615378
77,❌ Chưa tải,715,https://www.tiktok.com/@nuademtheman06/video/7592208749356436743
78,❌ Chưa tải,864,https://www.tiktok.com/@nuademtheman06/video/7592064145890037000
79,❌ Chưa tải,1718,https://www.tiktok.com/@nuademtheman06/video/7591719617660308744
80,❌ Chưa tải,23700,https://www.tiktok.com/@nuademtheman06/video/7591518265428413704
81,❌ Chưa tải,1178,https://www.tiktok.com/@nuademtheman06/video/7591465164403199240
82,❌ Chưa tải,2390,https://www.tiktok.com/@nuademtheman06/video/7591338530232716552
83,❌ Chưa tải,2506,https://www.tiktok.com/@nuademtheman06/video/7591100383318068487
84,❌ Chưa tải,18900,https://www.tiktok.com/@nuademtheman06/video/7590774610073898247
85,❌ Chưa tải,3551,https://www.tiktok.com/@nuademtheman06/video/7590591898365054216
86,❌ Chưa tải,2171,https://www.tiktok.com/@nuademtheman06/video/7590359535915715848
87,❌ Chưa tải,6191,https://www.tiktok.com/@nuademtheman06/video/7590232649944288519
88,❌ Chưa tải,1489,https://www.tiktok.com/@nuademtheman06/video/7590030330510331144
89,❌ Chưa tải,858,https://www.tiktok.com/@nuademtheman06/video/7590016447112301842
90,❌ Chưa tải,9502,https://www.tiktok.com/@nuademtheman06/video/7589849783112568071
91,❌ Chưa tải,3736,https://www.tiktok.com/@nuademtheman06/video/7589605615190723847
92,❌ Chưa tải,8038,https://www.tiktok.com/@nuademtheman06/video/7589470277768072466
93,❌ Chưa tải,93700,https://www.tiktok.com/@nuademtheman06/video/7589284906446933255
94,❌ Chưa tải,2874,https://www.tiktok.com/@nuademtheman06/video/7589199801552620818
95,❌ Chưa tải,1242,https://www.tiktok.com/@nuademtheman06/video/7589074891341663506
96,❌ Chưa tải,4657,https://www.tiktok.com/@nuademtheman06/video/7588964168317799698
97,❌ Chưa tải,1350,https://www.tiktok.com/@nuademtheman06/video/7588757531925761287
98,❌ Chưa tải,682,https://www.tiktok.com/@nuademtheman06/video/7588558610192518408
99,❌ Chưa tải,1947,https://www.tiktok.com/@nuademtheman06/video/7588495829833452808
100,❌ Chưa tải,1297,https://www.tiktok.com/@nuademtheman06/video/7588382406827068680
101,❌ Chưa tải,1127,https://www.tiktok.com/@nuademtheman06/video/7588224764167212295
102,❌ Chưa tải,1484,https://www.tiktok.com/@nuademtheman06/video/7588125003850337544
103,❌ Chưa tải,2236,https://www.tiktok.com/@nuademtheman06/video/7587885008438758663
104,❌ Chưa tải,1955,https://www.tiktok.com/@nuademtheman06/video/7587835769226644744
105,❌ Chưa tải,26600,https://www.tiktok.com/@nuademtheman06/video/7587764802794048775
106,❌ Chưa tải,948,https://www.tiktok.com/@nuademtheman06/video/7587496258156236039
107,❌ Chưa tải,887,https://www.tiktok.com/@nuademtheman06/video/7587320226123943186
108,❌ Chưa tải,1060,https://www.tiktok.com/@nuademtheman06/video/7587069740384849159
109,❌ Chưa tải,778,https://www.tiktok.com/@nuademtheman06/video/7587011914073525511
110,❌ Chưa tải,711,https://www.tiktok.com/@nuademtheman06/video/7586901549675203848
111,❌ Chưa tải,1437,https://www.tiktok.com/@nuademtheman06/video/7586843092012109064
112,❌ Chưa tải,538,https://www.tiktok.com/@nuademtheman06/video/7586788682930179336
113,❌ Chưa tải,552,https://www.tiktok.com/@nuademtheman06/video/7586677394543611154
114,❌ Chưa tải,186,https://www.tiktok.com/@nuademtheman06/video/7586615106608450824
115,❌ Chưa tải,646,https://www.tiktok.com/@nuademtheman06/video/7586411585816595720
116,❌ Chưa tải,555,https://www.tiktok.com/@nuademtheman06/video/7586357996813405458
117,❌ Chưa tải,1327,https://www.tiktok.com/@nuademtheman06/video/7586332834143489288
118,❌ Chưa tải,234,https://www.tiktok.com/@nuademtheman06/video/7586272507188055304
119,❌ Chưa tải,860,https://www.tiktok.com/@nuademtheman06/video/7586247619438005511
120,❌ Chưa tải,319,https://www.tiktok.com/@nuademtheman06/video/7586002708906249480
121,❌ Chưa tải,234,https://www.tiktok.com/@nuademtheman06/video/7585986537955839250
122,❌ Chưa tải,315,https://www.tiktok.com/@nuademtheman06/video/7585948187731430663
123,❌ Chưa tải,164,https://www.tiktok.com/@nuademtheman06/video/7585902868884999431
124,❌ Chưa tải,217,https://www.tiktok.com/@nuademtheman06/video/7585691852288937234
